PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
-130	-120	-150	-140	2	-127.3	0.318	-145.7	2.765	1.332	0.033	1.443	0.004	0	0	1.506	0.009	1.245	0.011	123.85	4.172	0	0	111	1.838	0	0	121.65	1.202	116.5	1.131	122.5	1.131	185	0.955	
-130	-120	-170	-160	1	-121	0	-160.2	0	1.334	0	1.431	0	0	0	1.523	0	1.244	0	123.1	0	0	0	113.9	0	0	0	121.7	0	115.9	0	122.1	0	189.4	0	
-130	-120	0	10	1	-121.5	0	6.1	0	1.341	0	1.441	0	0	0	1.528	0	1.24	0	121.2	0	0	0	114	0	0	0	118.6	0	116.5	0	122.8	0	188.7	0	
-130	-120	-180	-170	1	-122.3	0	-175	0	1.327	0	1.445	0	0	0	1.518	0	1.224	0	121.8	0	0	0	111.4	0	0	0	121.5	0	117.3	0	121.6	0	182.5	0	
-130	-120	170	180	2	-127.1	3.408	173.8	4.822	1.335	0.009	1.44	0.022	0	0	1.524	0.013	1.247	0.02	122.4	0	0	0	110.45	0.071	0	0	120.85	1.344	114.65	0.071	124.65	0.212	180.7	0.354	
-130	-120	150	160	2	-126.2	3.924	155.2	3.557	1.333	0.001	1.434	0.006	0	0	1.512	0.007	1.225	0.005	121.7	0.566	0	0	113.3	1.131	0	0	121.7	0.141	115.55	0.919	123.45	0.071	178.2	7.121	
-130	-120	120	130	1	-130	0	129.5	0	1.322	0	1.456	0	0	0	1.513	0	1.238	0	121.8	0	0	0	109.1	0	0	0	120.2	0	115	0	124.9	0	181.5	0	
150	160	-180	-170	6	156.5	3.301	-174.9	2.527	1.326	0.007	1.448	0.006	0	0	1.522	0.009	1.226	0.013	121.75	1.361	0	0	109.983	2.271	0	0	121.767	0.967	116.733	1.708	122.7	0.853	181.2	4.232	
150	160	170	180	6	154.6	2.98	173.4	2.43	1.321	0.012	1.45	0.011	0	0	1.509	0.009	1.233	0.009	121.717	1.254	0	0	110.933	1.308	0	0	121.8	1.27	116.6	1.524	122.833	1.331	174.9	7.791	
150	160	-150	-140	2	152.7	0.071	-144.3	3.705	1.327	0.016	1.447	0.033	0	0	1.514	0.005	1.232	0	121.2	1.273	0	0	109.8	2.404	0	0	120.55	0.495	116.45	2.333	122.8	1.838	184.5	8.584	
