PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-90	-80	-30	-20	67	-84.8	3.157	-24.5	2.809	1.332	0.016	1.458	0.013	1.531	0.013	1.517	0.012	1.237	0.014	121.576	1.603	110.466	1.69	113.155	1.25	109.385	2.271	119.601	1.286	116.785	1.794	122.599	1.231	183.7	6.471	3	-90	-30	10	10	-9	-3	
-90	-80	-10	0	129	-84.9	2.811	-5.3	3.018	1.33	0.016	1.456	0.013	1.532	0.015	1.522	0.014	1.237	0.013	122.01	1.684	110.54	1.498	113.192	1.336	109.916	1.88	119.145	1.216	117.562	1.68	122.565	1.071	180.1	7.153	3	-90	-10	10	10	-9	-1	
-90	-80	110	120	70	-85.5	2.946	114.8	3.166	1.329	0.012	1.459	0.011	1.527	0.012	1.524	0.012	1.237	0.013	121.786	1.229	110.194	1.866	108.524	1.716	110.756	1.778	120.44	1.474	116.467	1.927	123.029	1.103	182.3	5.304	-1	-90	110	10	10	-9	11	
-90	-80	50	60	8	-86.4	2.232	55.6	3.278	1.329	0.012	1.458	0.013	1.522	0.008	1.525	0.01	1.23	0.011	122.412	1.219	110.188	1.834	112.338	1.683	111.837	1.744	122.05	1.186	117.063	0.84	122.813	0.743	180.2	5.707	2	-90	50	10	10	-9	5	
-90	-80	0	10	68	-85.9	2.725	3.7	2.641	1.331	0.013	1.458	0.012	1.532	0.017	1.525	0.013	1.235	0.013	122.474	1.861	110.343	1.568	112.944	0.973	110.346	2.103	119.319	1.143	117.563	1.483	122.749	1.427	179.5	5.743	3	-90	0	10	10	-9	0	
-90	-80	100	110	40	-85.2	3.083	105.9	3.058	1.333	0.011	1.46	0.014	1.525	0.014	1.522	0.014	1.235	0.011	121.95	1.458	110.28	1.52	107.792	1.935	111.238	1.783	121.033	1.094	116.538	1.552	122.77	1.036	183.5	5.787	-2	-90	100	10	10	-9	10	
-90	-80	130	140	86	-85.5	2.914	134.6	2.913	1.33	0.015	1.456	0.014	1.531	0.015	1.524	0.013	1.234	0.013	121.99	1.372	109.93	1.472	109.716	1.682	109.856	1.416	120.727	1.146	116.424	1.495	122.745	1.346	177	6.467	-0	-90	130	10	10	-9	13	
-90	-80	140	150	83	-85.4	2.849	144.9	2.97	1.33	0.014	1.457	0.014	1.531	0.016	1.522	0.014	1.237	0.013	121.937	1.444	110.299	1.49	110.294	1.699	109.564	1.773	121.22	1.157	116.475	1.772	122.677	1.135	174.5	6.06	0	-90	140	10	10	-9	14	
-90	-80	-20	-10	114	-84.6	2.758	-14.7	3.061	1.334	0.017	1.455	0.015	1.533	0.02	1.521	0.013	1.238	0.013	121.639	1.728	110.499	1.495	113.491	1.32	109.48	2.201	119.224	1.01	117.258	1.834	122.313	1.25	183.1	6.006	3	-90	-20	10	10	-9	-2	
-90	-80	70	80	27	-84.9	2.614	75.2	2.98	1.333	0.01	1.465	0.015	1.524	0.014	1.528	0.011	1.237	0.01	122.311	1.512	110.563	1.188	108.915	1.748	112.337	1.242	122.785	1.026	116.659	1.496	122.8	1.09	185.7	7.633	-1	-90	70	10	10	-9	7	
